Firm Name,Partner Name,Focus Area,Check Size,Stage,Website,Contact Method,Notes
Blume Ventures,Karthik Reddy,India Tech/AI/SaaS,"$200K-$2M",Pre-Seed/Seed,https://blume.vc,Apply via website; LinkedIn; email,"Leading India seed fund. Understands India + global AI market. Active in AI/SaaS."
Lightspeed India (now Lightspeed),Dev Khare,India/SEA Tech & AI,"$500K-$5M",Seed to Series A,https://lsvp.com,Apply via website; warm intros,"India-focused arm of Lightspeed. Active in AI-first startups. Dev Khare leads early-stage."
Peak XV Partners,Rajan Anandan,India/SEA Technology & AI,"$500K-$5M",Seed to Series A,https://www.peakxv.com,Apply via website (Surge program); LinkedIn,"Formerly Sequoia India. Surge accelerator for seed. Rajan Anandan is strong AI advocate."
Nexus Venture Partners,Pratik Poddar,India/US Enterprise AI,"$500K-$5M",Seed to Series A,https://nexusvp.com,Apply via website; email; LinkedIn,"India + US cross-border fund. Active in enterprise AI/SaaS. Pratik is accessible on Twitter/X."
Kalaari Capital,Vani Kola,India Tech/AI/Consumer,"$250K-$3M",Pre-Seed/Seed,https://www.kalaari.com,Apply via website; LinkedIn,"Vani Kola is one of India's top VCs. Interested in AI-first products. Accessible."
Chiratae Ventures,Sudhir Sethi,India Deep Tech/AI,"$500K-$5M",Seed to Series A,https://www.chiratae.com,Apply via website; LinkedIn; email,"Formerly IDG Ventures India. Active in AI and deep tech. Long track record."
Stellaris Venture Partners,Rahul Chowdhri,India SaaS/AI,"$500K-$3M",Seed to Series A,https://www.stellarisvp.com,Apply via website; LinkedIn; email,"India-focused seed fund. Rahul (ex-Flipkart) understands product-led AI. Active in SaaS."
Techstars AI Program,Various,AI Startups,"$120K",Pre-Seed,https://www.techstars.com,Apply during application windows,"3-month accelerator. $120K for ~6% equity. AI-specific track. Strong mentor network."
Google for Startups / AI First,Various,AI/ML Startups,"Cloud credits + $100K-$350K",Pre-Seed/Seed,https://startup.google.com,Apply via website; Google Cloud partner referrals,"Up to $350K in Google Cloud credits. AI-first program. Natural fit for Gemini-based products."
NVIDIA Inception,Various,AI/Deep Learning,"Cloud credits + ecosystem access",Pre-Seed to Series A,https://www.nvidia.com/en-us/startups/,Apply via website,"Not direct investment but provides GPU credits; hardware discounts; VC introductions; co-marketing."
Microsoft for Startups (Founders Hub),Various,AI/Cloud,"Azure credits up to $150K",Pre-Seed to Series A,https://www.microsoft.com/en-us/startups,Apply via Founders Hub website,"Up to $150K Azure credits; OpenAI API access; technical mentorship; M12 VC warm intros."
500 Global,Courtney Powell,Broad / AI Focus,"$150K",Pre-Seed/Seed,https://500.co,Apply during batch windows,"$150K for ~6% equity. Global accelerator with strong Asia/India presence."
Initialized Capital,Garry Tan (now at YC),AI/Developer Tools,"$500K-$3M",Pre-Seed/Seed,https://initialized.com,Apply via website; LinkedIn,"Garry Tan's fund (now also CEO of YC). Alexis Ohanian co-founded. Strong early-stage AI portfolio."
Lux Capital,Josh Wolfe,Deep Tech/AI,"$1M-$10M",Seed to Series A,https://www.luxcapital.com,Warm intros; LinkedIn; email,"Deep tech specialist. Invests in frontier AI. Josh Wolfe is vocal about AI investment thesis."
Elad Gil (Angel),Elad Gil,AI/SaaS/Infrastructure,"$100K-$2M",Pre-Seed/Seed,https://eladgil.com,Email; Twitter/X DM; warm intros,"Prolific angel investor. Author of High Growth Handbook. Very active in AI seed deals."
Naval Ravikant (Angel),Naval Ravikant,AI/Consumer/Platforms,"$50K-$500K",Pre-Seed/Seed,https://nav.al,AngelList; Twitter/X; warm intros,"Co-founder of AngelList. Invests in AI-first products. Accessible via Twitter/X."
Gokul Rajaram (Angel),Gokul Rajaram,AI/Enterprise/Product,"$50K-$250K",Pre-Seed/Seed,N/A,LinkedIn; Twitter/X; warm intros,"Ex-Google/Square exec. Active angel in AI. Known for writing about product-led growth."
Balaji Srinivasan (Angel),Balaji Srinivasan,AI/Crypto/Deep Tech,"$100K-$1M",Pre-Seed/Seed,https://balajis.com,Twitter/X; email; warm intros,"Ex-a16z GP and CTO of Coinbase. Invests in frontier tech including AI."
Greg Brockman (Angel),Greg Brockman,AI Infrastructure/Products,"$100K-$1M",Pre-Seed/Seed,N/A,LinkedIn; warm intros via AI network,"Co-founder of OpenAI. Personal angel investments in AI startups. Very selective."
Felicis Ventures,Aydin Senkut,AI/Enterprise/Consumer,"$500K-$5M",Seed to Series A,https://www.felicis.com,Apply via website; warm intros,"Strong AI portfolio. Aydin has deep Silicon Valley network. Active seed investor."
